RBD,DV_RBD,NOMBRE_ESTABLECIMIENTO,DEPENDENCIA,AREA,COD_REGION,COD_PROV,COD_COM_EST,COMUNA,PRIMERA_PRIORIDAD,SEGUNDA_PRIORIDAD,TERCERA_PRIORIDAD,NO_VULNERABLES,SIN_INFORMACION,TOTAL_MATRICULA_2015,IVE_SINAE_2016
5,1,JOVINA NARANJO FERNANDEZ,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,127,10,38,34,3,212,82.5
8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,186,14,29,25,0,254,90.2
9,4,ESCUELA REPUBLICA DE ISRAEL,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,662,44,267,287,12,1272,76.5
10,8,ESCUELA REPUBLICA DE FRANCIA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,99,8,20,19,1,147,86.4
11,6,ESC. GRAL. PEDRO LAGOS MARCHANT,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,267,15,29,11,0,322,96.6
12,4,ESCUELA GRAL JOSE MIGUEL CARRERA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,181,17,26,30,0,254,88.2
13,2,ESCUELA MANUEL RODRIGUEZ ERDOYZA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,158,13,23,17,0,211,91.9
14,0,ESCUELA ROMULO J. PENA MATURANA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,127,5,18,5,0,155,96.8
15,9,LICEO ARTISTICO DR. JUAN NOE CREVANI,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,144,6,17,29,0,196,85.2
16,7,ESCUELA REGIMIENTO RANCAGUA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,123,8,23,21,0,175,88
17,5,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,191,8,23,9,0,231,96.1
18,3,ESC. COMTE. JUAN JOSE SAN MARTIN,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,270,11,33,21,0,335,93.7
19,1,ESC. HUMBERTO VALENZUELA GARCIA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,231,11,27,19,0,288,93.4
20,5,ESCUELA TUCAPEL,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,279,15,32,25,0,351,92.9
22,1,ESCUELA GABRIELA MISTRAL,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,559,40,103,91,4,797,88.1
25,6,COLEGIO CENTENARIO DE ARICA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,284,18,51,28,0,381,92.7
26,4,ESCUELA REPUBLICA DE ARGENTINA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,109,6,14,10,0,139,92.8
27,2,ESCUELA ESMERALDA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,145,9,19,15,0,188,92
28,0,ESCUELA RICARDO SILVA ARRIAGADA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,175,15,29,26,1,246,89
29,9,ESCUELA AMERICA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,346,13,32,19,0,410,95.4
31,0,ESCUELA DARIO SALAS DIAZ,MUNICIPAL - DAEM,RURAL,15,151,15101,ARICA,196,27,21,10,0,254,96.1
32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,MUNICIPAL - DAEM,RURAL,15,151,15101,ARICA,204,26,26,23,0,279,91.8
33,7,ESCUELA CARLOS CONDELL DE LA HAZA,MUNICIPAL - DAEM,RURAL,15,151,15101,ARICA,100,18,9,7,2,136,93.4
35,3,ESCUELA GRAL. MANUEL BAQUEDANO,MUNICIPAL - DAEM,RURAL,15,151,15101,ARICA,29,5,2,2,0,38,94.7
36,1,ESCUELA IGNACIO CARRERA PINTO,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,188,16,13,9,0,226,96
38,8,ESCUELA ESPAÑA,MUNICIPAL - DAEM,RURAL,15,151,15101,ARICA,245,43,25,13,0,326,96
39,6,ESCUELA PAMPA ALGODONAL,MUNICIPAL - DAEM,RURAL,15,151,15101,ARICA,15,3,1,0,0,19,100
41,8,ESCUELA VALLE DE CHACA,MUNICIPAL - DAEM,RURAL,15,151,15101,ARICA,10,1,0,1,0,12,91.7
42,6,ESCUELA MOLINOS LLUTA,MUNICIPAL - DAEM,RURAL,15,151,15101,ARICA,7,2,0,0,0,9,100
45,0,COLEGIO ITALIANO SANTA ANA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,263,31,96,162,7,559,69.8
50,7,COLEGIO ADVENTISTA DE ARICA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,222,25,53,84,2,386,77.7
51,5,ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,6,0,0,3,0,9,66.7
52,3,LICEO DOMINGO SANTA MARIA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,1021,90,284,407,8,1810,77.1
56,6,COLEGIO SAN MARCOS DE ARICA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,143,7,71,301,43,565,39.1
60,4,COLEGIO ALEMAN DE ARICA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,198,17,73,126,14,428,67.3
67,1,ABRAHAM LINCOLN SCHOOL,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,143,8,72,187,21,431,51.7
70,1,ESCUELA VALLE DE ESQUINA,MUNICIPAL - DAEM,RURAL,15,151,15102,CAMARONES,3,1,0,0,0,4,100
72,8,LICEO  VALLE DE CODPA,MUNICIPAL - DAEM,RURAL,15,151,15102,CAMARONES,21,1,0,3,0,25,88
73,6,ESCUELA VALLE DE COBIJA,MUNICIPAL - DAEM,RURAL,15,151,15102,CAMARONES,1,0,0,0,0,1,100
74,4,ESCUELA VALLE DE CAMARONES,MUNICIPAL - DAEM,RURAL,15,151,15102,CAMARONES,6,1,0,0,0,7,100
75,2,ESCUELA VALLE DE GUANACAGUA,MUNICIPAL - DAEM,RURAL,15,151,15102,CAMARONES,5,0,0,0,0,5,100
76,0,ESCUELA VALLE DE CUYA,MUNICIPAL - DAEM,RURAL,15,151,15102,CAMARONES,9,1,0,0,0,10,100
78,7,LICEO GRANADEROS,MUNICIPAL - DAEM,RURAL,15,152,15201,PUTRE,95,3,5,6,1,110,93.6
79,5,ESCUELA EL MARQUEZ,MUNICIPAL - DAEM,RURAL,15,152,15201,PUTRE,19,0,0,0,0,19,100
81,7,ESCUELA PAYACHATAS,MUNICIPAL - DAEM,RURAL,15,152,15201,PUTRE,4,0,0,0,0,4,100
82,5,ESCUELA SAN FRANCISCO DE ASIS,MUNICIPAL - DAEM,RURAL,15,152,15201,PUTRE,3,0,0,0,0,3,100
83,3,ESCUELA COTA COTANI,MUNICIPAL - DAEM,RURAL,15,152,15201,PUTRE,3,0,0,0,0,3,100
84,1,ESCUELA LOS ALAMOS,MUNICIPAL - DAEM,RURAL,15,152,15201,PUTRE,0,0,1,0,0,1,100
86,8,ESCUELA SAN SANTIAGO DE BELEN,MUNICIPAL - DAEM,RURAL,15,152,15201,PUTRE,4,0,0,0,0,4,100
87,6,ESCUELA ANCOLACANE,MUNICIPAL - DAEM,RURAL,15,152,15202,GENERAL LAGOS,2,0,0,0,0,2,100
88,4,ESCUELA ALCERRECA,MUNICIPAL - DAEM,RURAL,15,152,15202,GENERAL LAGOS,1,0,0,0,0,1,100
89,2,ESCUELA HUMAPALCA,MUNICIPAL - DAEM,RURAL,15,152,15202,GENERAL LAGOS,1,0,0,0,0,1,100
90,6,ESCUELA INTERNADO VISVIRI,MUNICIPAL - DAEM,RURAL,15,152,15202,GENERAL LAGOS,9,1,0,1,0,11,90.9
91,4,ESCUELA COSAPILLA,MUNICIPAL - DAEM,RURAL,15,152,15202,GENERAL LAGOS,4,1,0,0,0,5,100
92,2,ESCUELA CHISLLUMA,MUNICIPAL - DAEM,RURAL,15,152,15202,GENERAL LAGOS,2,1,0,0,0,3,100
93,0,ESCUELA CHUJLLUTA,MUNICIPAL - DAEM,RURAL,15,152,15202,GENERAL LAGOS,6,0,0,0,0,6,100
94,9,ESCUELA GUACOYO,MUNICIPAL - DAEM,RURAL,15,152,15202,GENERAL LAGOS,3,0,0,0,0,3,100
95,7,ESCUELA COLPITAS,MUNICIPAL - DAEM,RURAL,15,152,15202,GENERAL LAGOS,2,0,0,0,0,2,100
103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,186,36,46,80,2,350,76.6
106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,ADMINISTRACIÓN DELEGADA,URBANO,1,11,1101,IQUIQUE,20,7,5,6,0,38,84.2
107,4,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,14,3,0,1,0,18,94.4
110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,250,33,65,99,3,450,77.3
