RBD,DV_RBD,NOMBRE_ESTABLECIMIENTO,DEPENDENCIA,AREA,COD_REGION,COD_PROV,COD_COM_EST,COMUNA,PRIMERA_PRIORIDAD,SEGUNDA_PRIORIDAD,TERCERA_PRIORIDAD,NO_VULNERABLES,SIN_INFORMACION,TOTAL_MATRICULA_2015,IVE_SINAE_2016
1,9,LICEO POLITECNICO ARICA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,388,24,40,28,0,480,94.2
4,3,LICEO OCTAVIO PALMA PEREZ,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,645,11,257,219,10,1142,79.9
5,1,JOVINA NARANJO FERNANDEZ,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,234,6,95,91,3,429,78.1
7,8,L. POLI. ANTONIO VARAS DE LA BARRA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,742,37,147,67,1,994,93.2
8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,191,36,31,44,1,303,85.1
15,9,LICEO ARTISTICO DR. JUAN NOE CREVANI,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,85,10,17,29,1,142,78.9
25,6,COLEGIO CENTENARIO DE ARICA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,45,0,4,4,0,53,92.5
32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,MUNICIPAL - DAEM,RURAL,15,151,15101,ARICA,82,4,6,6,0,98,93.9
45,0,COLEGIO ITALIANO SANTA ANA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,92,17,51,78,5,243,65.8
50,7,COLEGIO ADVENTISTA DE ARICA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,90,4,37,47,0,178,73.6
52,3,LICEO DOMINGO SANTA MARIA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,973,92,283,310,9,1667,80.9
56,6,COLEGIO SAN MARCOS DE ARICA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,55,11,38,153,16,273,38.1
60,4,COLEGIO ALEMAN DE ARICA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,81,6,46,61,6,200,66.5
67,1,ABRAHAM LINCOLN SCHOOL,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,28,1,23,49,5,106,49.1
72,8,LICEO  VALLE DE CODPA,MUNICIPAL - DAEM,RURAL,15,151,15102,CAMARONES,10,1,0,0,0,11,100.0
78,7,LICEO GRANADEROS,MUNICIPAL - DAEM,RURAL,15,152,15201,PUTRE,25,0,1,1,0,27,96.3
97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,152,38,30,36,1,257,85.6
103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,54,17,23,43,0,137,68.6
106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,ADMINISTRACIÓN DELEGADA,URBANO,1,11,1101,IQUIQUE,161,50,33,67,0,311,78.5
107,4,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,231,51,36,102,1,421,75.5
108,2,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,210,60,33,55,0,358,84.6
109,0,LICEO ELENA DUVAUCHELLE CABEZON,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,92,28,16,18,1,155,87.7
110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,93,21,23,73,1,211,64.9
124,4,LICEO LUIS CRUZ MARTINEZ,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,596,84,132,197,1,1010,80.4
